MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
dc:45:17:b5:1b:e0,ATT264,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:46:53,1,-85,42.3736712631773,-83.0805395275822,160.669112386612,12,WIFI
cc:7d:37:80:c8:80,ATT120,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:54:41,6,-94,42.3783742248184,-83.0745932613793,154.888479270403,6,WIFI
00:02:6f:c8:b3:3d,EnGenius1,[ESS],2013-09-12 13:59:48,1,-93,42.3781753681564,-83.0785366648121,161.657848173925,6,WIFI
20:e5:64:08:ab:f0,ATT520,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:56:35,6,-95,42.3812584066696,-83.0695157466793,159.952668174126,6,WIFI
58:6d:8f:9e:b9:7a,ThorntonFam-guest,[ESS],2013-09-12 13:48:24,1,-95,42.3757124126095,-83.0784245646265,154.62363800831,8,WIFI
02:1d:d1:37:cc:40,,[WPA2-PSK-CCMP][ESS],2013-09-12 13:44:26,11,-94,42.3726489506886,-83.080166276553,162.141450224866,6,WIFI
74:46:a0:d1:bb:04,HP-Print-04-Photosmart 7520,[ESS],2013-09-12 14:00:00,1,-98,42.377916821719,-83.0787995756538,165.711361769563,12,WIFI
b8:9b:c9:24:dd:19,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:17:17,1,-93,42.3712569633661,-83.0811214777117,156.17659257752,6,WIFI
c0:3f:0e:76:67:0b,NETGEAR,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 14:12:41,5,-94,42.3738473516159,-83.085706106963,161.976126325099,8,WIFI
00:02:6f:93:56:89,SewardPlazaAptsInternal,[WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:45:34,1,-93,42.3728679115444,-83.0824189694955,163.709853835161,6,WIFI
28:37:37:4b:23:61,KahnWiFi,[WPA2-PSK-CCMP][ESS],2013-09-12 13:43:02,11,-94,42.3707951376059,-83.0787764855607,158.791971496636,6,WIFI
00:23:51:67:a1:e1,2WIRE544,[WEP][ESS],2013-09-12 14:20:14,4,-94,42.3702456319705,-83.0778364503686,159.558052255127,8,WIFI
ce:a4:62:0c:b6:10,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:12:37,6,-95,42.3739386043848,-83.0857986758831,162.430920313832,6,WIFI
00:24:b2:df:54:17,Nozuka,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:44:05,2,-83,42.3723421807983,-83.0794404036265,162.126528548723,8,WIFI
00:18:0a:50:ab:20,TWPVPN,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:43:58,1,-88,42.3720483411622,-83.0793004374055,161.166417080885,8,WIFI
00:26:f3:66:10:18,HOME-1015,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1969-12-31 19:00:00,1,-98,42.3694406479368,-83.0802604393653,0,9.20658397674561,WIFI
00:26:f3:66:10:19,,[WPA2-PSK-CCMP][ESS],1969-12-31 19:00:00,1,-99,42.3687028071864,-83.0803037996132,0,8.14237117767334,WIFI
b0:77:ac:db:c3:a0,ATT416,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:04:04,6,-95,42.3770993898459,-83.0834443999151,161.175652906124,8,WIFI
88:1f:a1:31:e8:d4,Symposium,[WPA2-PSK-CCMP][ESS],2013-09-12 13:47:12,11,-93,42.3740209310959,-83.0795796950617,156.115934582938,8,WIFI
e8:6d:52:91:11:80,ATT208,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:15:23,11,-97,42.3711655437839,-83.0806999712048,164.155655576929,8,WIFI
20:aa:4b:19:91:39,CHAMI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:53:53,6,-98,42.3773556863559,-83.0773681184573,157.826440750204,8,WIFI
a0:21:b7:81:ef:25,NETFEAR2,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 13:42:46,11,-91,42.370608072694,-83.0794097684335,160.49894730166,8,WIFI
74:e5:0b:78:a9:f1,WIN-R413KKJDPQT-83990,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 13:47:04,1,-97,42.3738561696525,-83.0798601451062,156.799676143337,8,WIFI
7c:bf:b1:2f:d6:40,ATT032,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:44:22,11,-97,42.3726961588403,-83.0800259150799,161.802295306748,8,WIFI
00:23:69:bc:73:5f,ETHANWOOD-PC_Network,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 13:46:49,6,-93,42.3736018639898,-83.0807374559351,161.331061637544,8,WIFI
e8:89:2c:69:b0:20,HOME-B022,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:17:45,1,-86,42.3704586587735,-83.080850593327,156.221305371884,6,WIFI
20:4e:7f:22:56:b0,ATT504_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:05:03,11,-98,42.3779383025999,-83.0809987805354,160.402117661058,6,WIFI
20:e5:64:22:63:00,ATT784,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 03:00:54,1,-99,42.3703490059129,-83.0798445890562,150.852706199066,32,WIFI
00:1d:d5:21:64:c0,HOME-64C2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:43:33,1,-67,42.3711680510858,-83.0794345874445,160.363999200168,6,WIFI
84:34:97:65:c8:eb,HP-Print-EB-Photosmart 5520,[WPA2-PSK-CCMP][ESS],2013-09-12 14:17:37,3,-93,42.3706723375858,-83.0811295105253,155.909072842324,4,WIFI
c4:39:3a:1d:71:db,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:12:51,11,-94,42.3737674145375,-83.0855903912957,161.540970248728,8,WIFI
94:cc:b9:8b:f4:30,ATT208,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:41:45,1,-93,42.3702635867749,-83.0799976403493,163.314425452113,6,WIFI
0e:f8:93:26:f3:e0,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:14:58,6,-86,42.3714863205715,-83.0816826861912,163.882740058058,8,WIFI
b8:9b:c9:24:dd:1b,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:17:32,1,-88,42.3708071274134,-83.0811864265513,156.179141150147,4,WIFI
00:1f:33:23:a1:a4,mtzionncbc,[WPA-PSK-TKIP][ESS],2013-09-12 13:47:18,11,-87,42.3742969754531,-83.0796920929459,158.845644342009,8,WIFI
e0:91:f5:a3:f9:80,BRI&TANIA,[WPA-PSK-TKIP][WPS][ESS],2013-09-12 13:56:38,1,-98,42.3812831654032,-83.0697469902606,159.723708826816,6,WIFI
68:86:a7:53:10:c0,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:20:26,11,-90,42.3704272652678,-83.0772080035038,164.462264191678,16,WIFI
ee:1a:59:43:ad:f4,belkin.df3.guests,[WPS][ESS],2013-09-12 13:54:20,6,-92,42.3779213340471,-83.0757703024494,156.138245465246,6,WIFI
06:18:0a:35:9f:e4,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:21:50,11,-97,42.370188190307,-83.0798981687456,160.453822820921,6,WIFI
00:1d:d0:14:4c:60,HOME-4C62,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:14:38,6,-98,42.3722331498525,-83.0821955228241,165.545969020874,6,WIFI
c0:83:0a:b2:5f:e9,2WIRE194,[WEP][ESS],2013-09-12 14:00:53,3,-97,42.3770599522353,-83.0813200044576,163.321529973798,6,WIFI
58:6d:8f:9e:b9:78,ThorntonFam,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:48:24,1,-97,42.3757124126095,-83.0784245646265,154.62363800831,8,WIFI
d8:c7:c8:90:12:a0,lcgteach,[WPA-EAP-TKIP][ESS],2013-09-12 14:20:23,11,-85,42.3703947886598,-83.0773691664513,162.680612944486,24,WIFI
44:32:c8:db:43:28,HOME-4328,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:19:53,11,-94,42.3700310062838,-83.0784780997567,159.511994606244,8,WIFI
c0:3f:0e:9c:3c:1a,ACE-Wireless,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 14:15:17,6,-97,42.3710785814878,-83.080998741318,164.725678490062,6,WIFI
02:1d:d4:e1:20:d0,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:17:53,11,-97,42.370262978302,-83.0806446716196,156.868446235868,6,WIFI
5c:57:1a:ec:71:50,HOME-7152,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:04:48,11,-98,42.3776303553822,-83.0818685160317,159.036815316713,8,WIFI
38:6b:bb:cb:30:10,ATT664,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:09:26,11,-94,42.3777835978116,-83.0847616750692,162.98491164789,16,WIFI
00:0f:3d:3c:0c:40,default,[WPA-PSK-TKIP][ESS],2013-09-12 13:49:03,6,-91,42.3755054636313,-83.0796606282897,158.636931418159,12,WIFI
00:1d:d5:03:d8:a0,130 VP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:52:55,1,-95,42.375892390737,-83.0807498374086,159.369946004373,6,WIFI
ac:5d:10:2e:49:89,2WIRE407,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:14:41,1,-95,42.3720985371626,-83.0821202399019,164.036573425752,6,WIFI
20:4e:7f:5a:56:1c,eatemupTigers,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 14:12:54,6,-100,42.3736662462609,-83.0855359713596,161.495528082674,6,WIFI
1c:14:48:03:b4:40,ATT952,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:45:48,11,-94,42.3731006887151,-83.0819599967291,162.931865203443,6,WIFI
3c:ea:4f:ed:da:91,2WIRE729,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:44:10,8,-87,42.3725587379774,-83.0795811505651,161.075649711048,8,WIFI
00:26:f3:66:10:1b,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1969-12-31 19:00:00,1,-98,42.3701639753867,-83.0799072340531,0,8.14237117767334,WIFI
4c:60:de:d9:52:4c,terencenoblejr,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:57:31,2,-88,42.3803839048501,-83.0723314552534,159.815831292922,12,WIFI
b0:77:ac:09:ba:80,ATT520,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-11 19:51:07,6,-96,42.3702304160566,-83.0797763756721,167.908543406161,6,WIFI
78:cd:8e:3c:aa:cb,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:46:08,6,-77,42.3733693888355,-83.0813403063965,161.59079634001,12,WIFI
78:cd:8e:3c:aa:ca,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:46:09,6,-87,42.3733811542883,-83.0812917551937,161.532901337318,12,WIFI
00:18:0a:10:08:84,,[ESS],2013-09-12 13:53:16,6,-87,42.3764567873799,-83.0797147586146,157.270584911747,8,WIFI
6c:f3:7f:f3:e9:01,DaVita-Team,[WPA2-EAP-CCMP][ESS],2013-09-12 13:43:48,11,-97,42.3716082540351,-83.0789621661983,158.797377579638,16,WIFI
6c:f3:7f:f3:e9:00,DaVita-Guest,[ESS],2013-09-12 13:43:48,11,-98,42.3716082540351,-83.0789621661983,158.797377579638,16,WIFI
34:23:ba:14:15:ec,Samsung Galaxy S III 03,[WPA2-PSK-CCMP][ESS],2013-09-12 14:05:03,11,-96,42.3779383025999,-83.0809987805354,160.402117661058,6,WIFI
c8:64:c7:cc:d0:2c,T-Mobile Broadband41,[WPA-PSK-CCMP+TKIP][ESS],2013-09-12 14:11:06,1,-97,42.3770322143502,-83.0854045840135,158.035263658711,6,WIFI
00:26:50:e5:b7:b9,2WIRE529,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:14:40,11,-97,42.3721458209605,-83.0821482485711,164.810104257227,6,WIFI
78:cd:8e:39:2a:69,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:02:15,6,-98,42.3755178734715,-83.0854406818492,160.444703596128,8,WIFI
b0:77:ac:18:3e:a0,ATT848,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:09:47,11,-97,42.3774927865523,-83.0856817932055,161.699530878467,6,WIFI
7c:bf:b1:2f:d3:40,ATT264,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:50:30,6,-95,42.3740426852981,-83.0831923896122,158.988106555601,8,WIFI
00:23:69:40:c5:cd,DNDLMersier,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:08:42,6,-99,42.3781617561262,-83.0837470189713,159.57491236835,16,WIFI
78:cd:8e:39:2a:68,HOME-2A68,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:02:18,6,-91,42.3754719206451,-83.0855927265058,160.436094394171,8,WIFI
90:b1:34:b0:6a:c0,ATT032,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:09:58,11,-98,42.3773216301454,-83.0862899376078,161.828052108889,8,WIFI
00:26:f2:8a:00:37,JENN-PC-Wireless,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:02:24,1,-88,42.3753185483734,-83.0859498519302,160.647346608651,8,WIFI
02:1d:d4:5e:92:c0,,[WPA2-PSK-CCMP][ESS],2013-09-12 13:43:55,6,-92,42.371914561244,-83.0792089866952,160.249219494583,6,WIFI
00:25:3c:cd:6a:c1,freefreezelasoarough,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:19:04,1,-92,42.3699558851584,-83.0798461855684,159.883539302948,6,WIFI
00:26:f3:7b:0f:eb,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:12:54,1,-98,42.3736662462609,-83.0855359713596,161.495528082674,6,WIFI
c4:39:3a:4d:98:c8,HOME-98C8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:43:46,5,-97,42.3715037535946,-83.0789353649093,159.913915030275,16,WIFI
c4:39:3a:4d:98:c9,,[WPA2-PSK-CCMP][ESS],2013-09-12 13:42:34,5,-97,42.3704143479714,-83.0798427153236,160.551291992634,8,WIFI
28:cf:da:b2:d6:23,Dr.Williams Office,[WPA2-PSK-CCMP][ESS],2013-09-12 14:20:16,6,-78,42.3702889429711,-83.0777433954334,159.987192398863,8,WIFI
00:1f:45:b0:0b:88,HFHS.Guest,[ESS],2013-09-12 14:19:34,6,-86,42.3697322906223,-83.0790609430037,158.352828824416,8,WIFI
00:1f:33:c0:b1:fa,put your hands up for detriot,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:02:54,11,-97,42.3758630892533,-83.0870398342774,158.708080135484,6,WIFI
dc:45:17:0c:ec:70,ATT072,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:55:18,11,-87,42.3791993687031,-83.0723869016872,159.133443935929,4,WIFI
ec:1a:59:43:ad:f3,belkin.df3,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 13:54:20,6,-92,42.3779213340471,-83.0757703024494,156.138245465246,6,WIFI
b8:e6:25:3b:0d:69,2WIRE479,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:44:23,6,-88,42.3726625542355,-83.0800583102157,161.85977147118,8,WIFI
00:1d:d3:a5:ea:10,HOME-EA12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:42:41,6,-98,42.3705299602043,-83.0795775725156,160.596638325458,8,WIFI
00:1f:b3:ce:c1:d9,2WIRE734,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:46:20,1,-92,42.3735473813163,-83.0810166596805,160.837242636483,8,WIFI
00:24:b2:d7:a8:20,kingsnetwork,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:53:38,1,-97,42.3769692582089,-83.0782767058517,157.669574411601,4,WIFI
5c:57:1a:ec:61:d0,HOME-61D2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:14:29,11,-97,42.3726248448183,-83.082483797659,162.056353301624,6,WIFI
02:1d:d6:0e:6d:60,,[WPA2-PSK-CCMP][ESS],2013-09-12 13:43:28,6,-84,42.3710786287751,-83.0795217739963,160.045356926757,8,WIFI
20:e5:64:9a:1a:f0,ATT656,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:58:41,6,-92,42.3792441098837,-83.0754879189425,162.077796444798,8,WIFI
b0:77:ac:11:2a:80,ATT944,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:08:57,1,-98,42.3779519629689,-83.0844294437037,162.481741829006,8,WIFI
7c:bf:b1:e4:b4:80,ATT408,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:56:21,11,-91,42.3806198817795,-83.0689505792089,158.924275453206,6,WIFI
00:26:f3:61:7f:4b,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:17:44,1,-92,42.3704857221233,-83.080902924488,156.120572577679,6,WIFI
20:e5:64:a4:eb:d0,ATT488,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:19:37,7,-97,42.3698231546547,-83.0789548127249,158.777195570254,6,WIFI
b0:e7:54:d0:95:01,2WIRE130,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:47:20,7,-85,42.3743788388408,-83.0797508183264,159.447241530412,8,WIFI
00:24:b2:da:14:96,NETGEAR,[WPA-PSK-TKIP][WPS][ESS],2013-09-12 13:46:33,3,-95,42.3736023892935,-83.0810609111569,160.978081662745,8,WIFI
00:21:7c:13:9b:c9,2WIRE841,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:15:08,10,-97,42.3711491492646,-83.0813505230825,165.081279318869,8,WIFI
44:d8:32:66:9e:ad,PS3-9197080,[WPA-PSK-CCMP][ESS],2013-09-12 14:01:19,3,-94,42.3766168425278,-83.0825814420911,161.633290289249,8,WIFI
ea:89:2c:65:cb:90,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:12:10,1,-92,42.3746483755705,-83.0850482239895,161.346771311789,6,WIFI
00:26:f2:ea:29:8c,NETGEAR,[WPS][ESS],2013-09-12 13:50:52,5,-97,42.3742920868328,-83.0822419805902,156.956439708169,8,WIFI
38:6b:bb:5f:9b:90,ATT264,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:52:58,1,-98,42.3760009509928,-83.0808189095424,159.875812762256,6,WIFI
58:6d:8f:f0:20:0f,OrangeLion,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2013-09-12 13:47:09,4,-92,42.3739232434204,-83.0796509072666,156.379196369643,8,WIFI
00:11:50:0f:6b:ad,zilch,[WPA-PSK-TKIP][ESS],2013-09-12 13:45:42,11,-97,42.3729816513327,-83.082200901874,163.339301521057,8,WIFI
78:cd:8e:3c:aa:c9,,[WPA2-PSK-CCMP][ESS],2013-09-12 13:46:03,6,-85,42.3732686296655,-83.08147717569,161.930299030682,8,WIFI
78:cd:8e:3c:aa:c8,HOME-AAC8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:45:57,6,-98,42.373190703779,-83.0817035021487,162.0961921333,6,WIFI
00:26:f2:6d:ba:58,NETGEAR,[ESS],2013-09-12 14:20:41,11,-99,42.3709284141135,-83.0773333819538,172.401476756113,12,WIFI
00:23:ea:03:a9:01,,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2013-09-12 14:20:01,1,-83,42.3700811123617,-83.0783173086214,159.181373697882,8,WIFI
00:23:ea:03:a9:03,kccguest,[ESS],2013-09-12 14:20:01,1,-86,42.3700811123617,-83.0783173086214,159.181373697882,8,WIFI
06:18:0a:35:91:d8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:49:15,1,-98,42.375283280101,-83.0801998758755,159.505663123997,12,WIFI
00:23:ea:03:a9:05,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:20:08,1,-87,42.3701156582097,-83.0781313784558,159.082521187258,12,WIFI
